BoS_end_time,ticker,win/loss,sum_profits
1/9/2024 8:30,HIFIUSDT,0.0448,2.6198
1/9/2024 8:30,POLYXUSDT,0.039,2.6588
1/9/2024 8:30,RDNTUSDT,0.0481,2.7069
1/9/2024 10:45,SKLUSDT,0.0492,2.7561
1/9/2024 12:45,BATUSDT,0.0305,2.7866
1/9/2024 12:45,BALUSDT,-0.0393,2.7473
1/9/2024 12:45,XLMUSDT,0.0278,2.7751
1/9/2024 12:45,IOTAUSDT,0.0207,2.7958
1/9/2024 12:45,AGIXUSDT,-0.0429,2.7529
1/9/2024 12:45,DARUSDT,0.0274,2.7803
1/9/2024 12:45,LITUSDT,0.0248,2.8051
1/9/2024 12:45,UNIUSDT,0.0326,2.8377
1/9/2024 12:45,RADUSDT,-0.0317,2.806
1/9/2024 12:45,ENSUSDT,0.0239,2.8299
1/9/2024 12:45,ONGUSDT,0.0271,2.857
1/9/2024 12:45,CVXUSDT,-0.0375,2.8195
1/9/2024 12:45,ARUSDT,0.0219,2.8414
1/9/2024 12:45,IMXUSDT,0.0271,2.8685
1/9/2024 12:45,NKNUSDT,-0.0342,2.8343
1/9/2024 12:45,EOSUSDT,0.0321,2.8664
1/9/2024 12:45,BANDUSDT,0.0182,2.8846
1/9/2024 12:45,STRAXUSDT,0.0362,2.9208
1/9/2024 12:45,DENTUSDT,0.0325,2.9533
1/9/2024 12:45,BLZUSDT,-0.029,2.9243
